Texto,Real,Predicted
ortografia torus parece ter nenhuma energia ruim relação nova mulher exmarido semanas reunir ex reitor mcdermotta atriz beverly hill 90210 vista sendo super amiga namorada primeira vez desde separação ganhou manchetes torus spelling aparentemente dá bênçãos 8230the post torus spelling mostra amor namorada dean mcdermott beijo manchado batom appeared first on jornal espalha fato,positive,neutral
endividamento inadimplência concorrência mp 1185 fatores incerteza relação companhiasthe post varejo posterga retorno bolsa cenário macro ainda desafiador,neutral,neutral
varejista divulgou prejuízo bilionáriothe post casas bahia bhia3 prejuízo r 1 bilhão 4º trimestre,neutral,neutral
santander sanb11 plano plano plpl3 lojas quero quero ljqq3 pagam proventos nesta quintathe post vulcabras vulc3 paga r 367 milhões dividendos hoje veja recebe,neutral,neutral
aupuração realizada diretoria governança conformidade companhia junto kpmgthe post petrobras petr4 diz irregularidade celebração contrato unigel,neutral,neutral
crescimento maior esperado serviços janeiro somam varejo forte surpresa positiva caged risco pressão inflacionária descartadothe post economistas veem atividade aquecida passam projetar pib maior 1º trimestre,neutral,neutral
carlo ancelotti confirmou pequena revolução onze marca anunciou dar frescura energia onze branco 8220estou pensando toschack disse pode quarta queira mudar todo mundo quinta pouco menos domingo8230 acrescentar pouco frescor8221 garantiu duelo 8230the post ancelotti revoluciona onze appeared first on jornal espalha fato,neutral,neutral
vazamento combustível forçou astrobotic technology cancelar primeira tentativa missão país superfície lunar 50 ano esforços eua regressar lua primeira vez cinco décadas adiados porque empresa aeroespacial privada cancelou aterragem lunar planeada 8230the post empresa aeroespacial eua abandona pouso lua appeared first on jornal espalha fato,neutral,neutral
epic game constantemente trabalhando novos itens cosméticos fortnite longo ano centenas centenas itens entraram saíram loja itens cosméticos disponíveis fortnite tão diversos algo adapta qualquer estilo preferência satisfaz todos tipos jogadores fuentethe post obter skin halley fortnite appeared first on jornal espalha fato,neutral,neutral
líder fato opep arábia saudita disse cortes poderão continuar após primeiro trimestre necessáriothe post opep considerará estender cortes voluntários produção petróleo dizem fontes,neutral,neutral
economistas consultados reuters previam vendas varejo aumentariam 08 fevereiro desempenho afetado baixa temperaturas mêsthe post vendas varejo eua recuperam fevereiro menos esperado,neutral,neutral
segundo petrobras agora apenas embarcação precisou desviar rota ante entrar mar vermelho início ataquesthe post navios petrobras evitam mar vermelho crise empresa vê custos adicionais,neutral,neutral
cantora lizzo deu continuação terçafeira dramática postagem redes sociais sextafeira onde escreveu cansada aguentar arrastada todos vida internet concluindo declaração escrevendo inscrevi merda 8211 desisti embora muitos pensassem poderia 8230the post lizzo esclarece vai desistir música 8216parei dar atenção qualquer energia negativa8217 vídeo appeared first on jornal espalha fato,neutral,neutral
ontem botafogo resolveu novela vez toda anunciou contratação luiz,neutral,neutral
vigilância 2 oferecendo skin calavera reaper cosméticos acompanham gratuitamente via twitch drop partir agora 19 março vigilância 2 skin recente série itens cash shop distribuídos gratuitamente pouco terem sido originalmente vendidos dinheiro real 8230the post overwatch 2 oferece outra skin loja meio twitch drop appeared first on jornal espalha fato,negative,neutral
contratação cara história futebol brasileiro luiz henrique estreou botafogo,neutral,neutral
analistas bradesco bbi veem possível fonte pressão seguem otimistas ação brasileirathe post aramco ameaça petrobras oferta saudita atrai investidor petr4 diferencial,neutral,neutral
brasília 21 mar presidente luiz inácio lula silva pt criticou nesta quartafeira 20,neutral,neutral
startup brasileira facilita trabalho desenvolvedores melhora desempenho lojas comércio eletrônico aumentando 30 taxon conversãothe post plataforma criação site ecommerce decocx atrai u 22 milhões investimentos,neutral,neutral
alexandre silveira mina energia critica qualidade serviços empresa afirma renovação contrato rio pode comprometidathe post ministro diz enel 8220grande problema8221 pode ter concessão renovada rio,neutral,neutral
maki personagens secundários importantes mundo jjke cada arco passa relevância história aumenta apesar ter nascido pouca energia amaldiçoada maki provou força repetidas vezes quer tornar feiticeira sucesso seguro dizer conseguiu 8230the post jujutsu kaisen personagens maki superou appeared first on jornal espalha fato,neutral,neutral
ministro mina energia afirmou podemos tratar questões companhias aéreas questão combustívelthe post reunião aéreas petrobras governo cancelada,neutral,neutral
empresa petróleo transição transformando petrobras forma gradual investindo nova energias abrir mão hora outra produção petróleo afirmou ceothe post petrobras petr4 dará nenhum salto escuro energia renovável diz prate,neutral,neutral
mundo pal jogador utilizou falha construir base parece plataforma petróleo água mundo pal passa mundo enorme habitado criaturas semelhantes animais pal podem nutridas usadas combate exploração possui diversas atividades incluindo construção base exploração 8230the post jogador palworld constrói base parece plataforma petróleo gigante appeared first on jornal espalha fato,neutral,neutral
contudo analistas alertam otimismo pode ter fôlego curto revertendo ganhos recentes commoditythe post petróleo fecha nova alta meio expectativas aumento demanda global,neutral,neutral
variação anual indicador exclui alimentos energia 28 mês ante 290 dezembro indicador cheio fechou janeiro variação 03 ante dezembro 24 12 mesesthe post núcleo inflação consumo pce sobe 04 janeiro dentro esperado,neutral,neutral
apreensão navio mar vermelho requentou temores escalada conflitos oriente médiothe post petróleo fecha alta tensões geopolíticas elevadas após apreensão navio irã,neutral,neutral
parece alguns varejistas podem cancelando alguns lançamentos físicos xbox jogos relatos des cancelamentos chegam ante próxima atualização comercial xboxque responderá rumores especulações desenfreadas sobre papel empresa mercado amplo jogos fuentethe post parece alguns lançamentos físicos jogos xbox cancelados appeared first on jornal espalha fato,neutral,neutral
após empate gols luiz internacional boa notícia alan patrick,neutral,neutral
destaques vitória flamengo contra madureira léo pereira marcou,neutral,neutral
consenso analistas previa queda menor estoques 3200 milhões barris semana estoques cerca 2 abaixo média cinco anosthe post estoques petróleo eua caem 55 milhões barris semana afirma doe,neutral,neutral
quarto trimestre 2023 produção líquida enauta atingiu 153 mil barris óleo equivalente dia boed queda 2193 relação período 2022the post enauta enat3 lucro líquido soma r 68 milhões 4º tri queda 626,neutral,neutral
samsung 990 evo u 100 u 125 economize 25 samsung 990 evo ssd rápido baixo consumo energia suporte pcie 40 x4 pcie 50 x2 promete velocidades leitura 5000 mb velocidades gravação 4200 mb tudo usando significativamente 8230the post ssd deve comprar appeared first on jornal espalha fato,neutral,neutral
energia amaldiçoada forma base jjk mundo infinidade utilizadores energia amaldiçoados apenas alguns podem considerados melhores existem personagens destacam uso energia amaldiçoada diferentes maneiras alguns conhecidos deter enormes quantidades reservas energia amaldiçoadas fuentethe post jujutsu kaisen usuários energia amaldiçoada eficientes classificados appeared first on jornal espalha fato,neutral,neutral
energias sustentáveis leilões transmissão transformações setor devem afetar proventos acionistasthe post dividendos elétricas subsetor sai frente 3 ações destacam 2024,neutral,neutral
país entrou aguda crise econômica desde pandemia escassez alimentos combustíveis medicamentos embora policiamento sido ostensivo protestos relatos prisõesthe post cuba protestos meio apagões energia escassez alimentos,neutral,neutral
ferramenta sido vista aliada varejistas enquanto ameaça negócios cartões bancos fintechsthe post pix 8216matando8217 pagamentos dinheiro cartão crédito próxima vítima,neutral,neutral
ministro energia adebayo adelabu afirmou dedicação governo federal apoiar fabricantes locais medidores objetivo melhorar desenvolvimento conteúdo local estimular crescimento setor industrial adelabu prometeu apoio fabricantes nacionais durante visita trabalho memmcol mowe estado 8230the post fg patrocinará fabricantes locais medidores fechar lacuna medição adelabu appeared first on jornal espalha fato,neutral,neutral
chegada quatro reforços erick luiz gustavo damián bobadilla ferreirinha além,neutral,neutral
alexandre silveira comanda pasta mina energia nega intenção governo lula interferir petrobras vale fala fiscalização decisões administrativasthe post ministro critica 8220lucros exorbitantes8221 petrobras fala 8220boca torta8221 mercado,neutral,neutral
executivo deu declaração questionado sobre maior pressão distribuidora enel paulo vem enfrentando devido falhas recorrentes fornecimento energia consumidoresthe post ceo cpfl razão nenhuma distribuidora perder concessão inclusive enel,neutral,neutral
ministro porto aeroportos disse equação vai desde combustível passando linha crédito judicializaçãothe post lula vai reunir companhias aéreas próximos dia discutir ajuda setor,neutral,neutral
queda atividade refino norteamericana perturbações comércio global restringiram fornecimento diesel últimas semanas amortecendo exportações historicamente elevadas diesel eua europa mêsthe post petróleo sobe 1 possíveis interrupções transporte radar,neutral,neutral
brasília 12 gen presidente luiz inácio lula silva pt sancionou nesta sextafeira 12,neutral,neutral
companhia sueca petróleo maha energy acionista 3r petroleum rrrp3 solicitou convocação assembleia geral extraordinária age votar destituição atuais membros conselho administração bem redução número conselheiros 7 5além disso acionista propõe eleição membros conselho 8230the post 3r petroleum rrrp3 maha energy pede convocação age votar mudanças conselho,positive,neutral
nova sociedade controle compartilhado colocará newcom 10 maiores comercializadoras energia brasilthe post copersucar adquire 50 comercializadora comerc avança venda energia,neutral,neutral
quartafeira governo estado lagos tomou medidas decisivas fechar loja jumia localizada herbert macaulay way yaba alegando violações regulamentações ambientais tokunbo wahab comissário ambiente recursos hídricos anunciou ação fiscalização através conta oficial x acordo wahabo fechamento 8230the post lasg fecha loja yaba jumia violações ambientais appeared first on jornal espalha fato,neutral,neutral
emily elizabetho modelo deslumbrante fez ondas instagram segunda noite enquanto compartilhava instantâneo brilhante histórias bomba praia certificada imagem capturou jovem 25 ano abraçando fascínio escapadas noturnas praia vestida tentador biquíni azulpetróleo exibia físico invejável emily exalava confiança enquanto 8230the post emily elizabeth pequeno biquíni azulpetróleo vai nadar noite appeared first on jornal espalha fato,neutral,neutral
chefe roscosmos yury borisov disse joint venture china poderia instalar reator fornecer energia assentamento lunar autoridades espaciais russas chinesas considerando seriamente projeto conjunto instalar usina nuclear lua dentro cerca década gerar eletricidade futuro assentamento 8230the post rússia pondera colocar central nuclear lua appeared first on jornal espalha fato,neutral,neutral
presidente brasileiro luiz inácio lula silva pediu segundafeira embaixador tel aviv retornasse brasília consultas medida ocorreu israel declarou lula 8220persona non grata8221 causa comentários sobre gaza presidente citado mídia brasileira fim semana comparando 8230the post brasil chama embaixador israel appeared first on jornal espalha fato,neutral,neutral
distribuidora electricidade ibadan anunciou data início implementação nova tarifa electricidade consumidores banda 3 abril 2024 empresa divulgou comunicado assinado administração informando consumidores banda utilizam medidores prépagos primeiros sentir 8230the post ibadan disco anuncia data início implementação nova tarifa energia elétrica appeared first on jornal espalha fato,neutral,neutral
quase dia novos quadrinhos significa novos lançamentos chegando lojas plataformas digitais cada semana the weekly pull equipe comicbookcom destaca novos lançamentos entusiasmam semana quadrinhos quer lançamentos editora proeminente 8230the post the weekly pull mulher maravilha xmen forever dawnrunner appeared first on jornal espalha fato,neutral,neutral
wti março fechou baixa 157 brent abril recuou 135the post petróleo fecha baixa sessão volátil especulações sobre novo cessarfogo gaza,neutral,neutral
londres anunciou plano investimento aumentar força trabalho setor manter dissuasão submarinos mar governo reino unido revelou plano segundafeira impulsionar sector nuclear britânico energia defesa incluindo investimentos maciços futura força trabalho programa 8230the post reino unido compromete quase mil milhões dólares programa nuclear appeared first on jornal espalha fato,neutral,neutral
aposta deve expansão oportunidades mercado energia paísthe post consultoria thymos energia lança braço apoio projetos fusões setor,neutral,neutral
exterior dia agenda esvaziada ações oscilam leves perdas ganhos investidores seguem atentos sinai trajetória política monetária europa euathe post índice adrs brasileiros sobe ny avanço vale petrobras,neutral,neutral
sony lança atualização 900 console playstation 5 adicionando série novos recursos qualidade vida incluindo capacidade diminuir luz indicadora energia além fazer melhorias adicionais áudio microfone dualsense acreditarmos rumores 2024 pode grande ano sony 8230the post atualização hardware playstation 5 adiciona recursos qualidade vida altamente solicitados appeared first on jornal espalha fato,neutral,neutral
china deverá responder quase 60 aumento demanda anothe post aie prevê demanda global petróleo voltará níveis prépandemia,neutral,neutral
entrevista bloomberg prate afirmou petrobras cautelosa pagamento dividendos extraordinários medida move tornar potência energia renovávelthe post petrobras petr3petr4 ações caem 4 após fala ceo sobre dividendos,neutral,neutral
sobre quartafeira 17 janeiro 2024 18h biblioteca westport orgulhosamente apresenta escola música meadowmount concertodestaque luiz fernando venturelli violoncelo programa incluirá obras coleridgetaylor perkinsondimitri cervojs bachmarlos nobrecésar franckazevédoabreu admissão gratuito doação sugerida u 20 beneficiar biblioteca sobre artista luiz fernando venturelli violoncelista 8230the post biblioteca westport apresenta meadowmount school of music 8211 in concert 8211 8211 adirondack almanack appeared first on jornal,neutral,neutral
empresa faz gestão 37 potência instalada geração energia país diversifica portfóliothe post esfera avança gestão usinas define plano ganhar escala varejo,neutral,neutral
região afetada vê interrupções fornecimento energia quinto dia seguidothe post problema rede subterrânea enel prolonga falta energia centro sp,neutral,neutral
último título neal fun game artesanato infinitotomou internet tempestade título permite jogadores participar processo simplista altamente criativo divertido combinam diferentes elementos criar diferentes itens conceitos fusões podem qualquer coisa desde referências personagens cultura pop 8230the post produzir energia embarcações infinitas appeared first on jornal espalha fato,positive,neutral
país entrou aguda crise econômica desde pandemia escassez alimentos combustíveis medicamentos embora policiamento sido ostensivo protestos relatos prisõesthe post cuba protestos meio apagões energia escassez alimentos,neutral,neutral
ministro energia adebayo adelabu propôs ideia criar medidas legislativas garantir pagamentos gás feitos naira sector energia ministro afirmou identificador x oficial após reunião ministro estado recursos petrolíferos gás ekperikpo ekpe sobre questão 8230the post ministro energia proporá lei garantindo pagamentos gás natural feitos naira appeared first on jornal espalha fato,positive,neutral
proventos santos brp stbp3 even even3 pingam conta nesta sextathe post lojas renner lren3 paga r 336 milhões dividendos hoje confira vai receber,neutral,neutral
presidente luiz inácio lula silva egito voltou criticar comportamento israel conflito contra hamasthe post lula 8220parece israel primazia cumprir nenhuma decisão8221,neutral,neutral
construir pc jogos costumava tarefa difícil envolvia escolher peças vários varejistas conseguir ajuda amigo experiente tecnologia diagnosticar problemas construção caso confundissem instruções agora fácil construir pc diy poi fabricantes peças pc 8230the post melhores pc jogos u 1000 appeared first on jornal espalha fato,neutral,neutral
enquanto indústria extrativa cresceu 34 relação outubro impulsionada forte extração petróleo mês manufatura queda 02the post economistas crescimento indústria permaneceu desigual novembro,neutral,neutral
governo federal anunciou intenção implementar estratégia multifacetada agilizar adoção soluções transporte sustentáveis ecologicamente corretas país saidu alkali ministro transportes fez declaração durante discurso início sessão executiva 18ª conferência conselho nacional transportes abeokuta sextafeira 8230the post fg anuncia plano transição sistema transporte ecológico energia renovável appeared first on jornal espalha fato,neutral,neutral
secretário tesouro nacional falou sobre fiscal brasileiro stock picker podcast sobre mercado financeiro infomoneythe post ceron diz decisão petrobras afeta projeção dividendos união,neutral,neutral
nigerian national petroleum company limited nnpc ltd apelou colaboração profunda operadores montante especialmente produtores independentes encontrar soluções desafios impedem desenvolvimento eficaz activos alienados indústria nacional petróleo gás acordo declaração diretor comunicações corporativas 8230the post desinvestimento nnpc ltd defende maior colaboração produtores independentes appeared first on jornal espalha fato,negative,neutral
tribunal superior estado níger sede minna concedeu indemnização n11 biliões comunidade samboro área governo local rafi dificuldades incalculáveis enfrentam devido projecto energia hidroeléctrica zungeru área juiz mohammed mohammed tribunal deu decisão processo nº 8230the post barragem zungeru tribunal concede compensação n11 trilhão comunidade níger dificuldades incalculáveis appeared first on jornal espalha fato,positive,positive
trxf11 negocia compra três unidades decathlon goiás santa catarina paulothe post fii negocia venda oito lojas assaí pão açúcar r 613 milhões,neutral,neutral
cpi concessionária atribui apagão evento climático extremothe post enelsp diz restabelecimento energia novembro bemsucedido,neutral,neutral
papéis selecionados voltados investidor geral envolvem empresas petróleo concessões infraestrutura outros setoresthe post ainda oportunidade renda fixa privada diz santander veja 6 títulos indicados,neutral,neutral
regulamentação mercado apostas menor inflação avanço economia justificam leve otimismo empresasthe post xp vê desafios 8220tempo abrindo8221 varejo confira recomendações ações setor,positive,neutral
esclarecimento ocorre após forte queda ações companhia meio declarações jean paul prate ceo estatal sobre cautela dividendos conta transição energética estatalthe post petrobras diz qualquer decisão tomada sobre distribuição dividendos,neutral,neutral
tagonizante triunfo real madrid embora merecido primeira metade plana brancos sofreu baixas naquele primeiro ataque tridente formaram vini rodrygo brahim combustível intervalo equipa reagiu chegar merecida recompensa porém dirigente perdoou demais prendeu sevilla sofreu 8230the post quatro notáveis beirando excelente appeared first on jornal espalha fato,neutral,neutral
primeira vez ppsa vendeu cargas baseada preço brent então vendas realizadas base preço referência estabelecido agência nacional petróleo gás biocombustíveis anpthe post chinesa cnooc compra petróleo união 1ª vez preço venda baseado brent,neutral,neutral
quedas sistema afetaram lojas mcdonalds alguns maiores mercados japão austrália reino unidothe post big mac vira big tech alguns contratempos,neutral,neutral
compra ativos onshore bacia potiguar marca volta empresa engenharia exploração petróleo nova aquisições mirathe post azevedo travassos surfa onda 8220seniorização8221 petroleiras juniores,neutral,neutral
órgão 11 membros sendo seis indicados união quatro acionistas minoritários funcionários empresathe post petrobras anuncia indicação união minoritários conselhos estatal,neutral,neutral
presidente incomodado vazamento sobre reuniãothe post lula cancela reunião poderia decidir comandar petrobras dizem fontes,neutral,neutral
negócios petróleo fecharam meio entrevista coletiva presidente fed jerome powell desencadeava desvalorização dólarthe post petróleo fecha queda após decisão fed dado mistos estoques eua,neutral,neutral
cidade cabo áfrica sul en três me tão esperadas eleições gerais áfrica sul cenário político refeito desde cyril ramaphosa tornou presidente 2018 questões internas corrupção dentro governo cortes energia rolantese economia instável têm sido calorosamente debatidos 8230the post 8216salto realidade8217 guerra gaza força eleitor repensar ante eleições áfrica sul appeared first on jornal espalha fato,neutral,neutral
jogo válido sétima rodada gauchão grêmio luiz vão enfrentar neste sábado,neutral,neutral
órgão antitruste cofece mostrou preocupação domínio mercado livre amazon mercado mexicano ecommerce fez recomendaçõesthe post 8216cade mexicano8217 toma medidas contra domínio mercado livre analistas veem grandes impactos,positive,neutral
chegou momento desejo agenda espaço dedicar interesses pessoais acompanhar projetos empresariais sociais família afirmou exceothe post josé galló deixa lojas renner após 32 ano,neutral,neutral
resultado indica melhora relação ano anteriorthe post consumidor ficou média 104 horas energia 2023 mostra aneel,neutral,neutral
ação caiu r 4290 r 3577 final fevereiro incertezas relação dividendos the post petrobras petr4 esperar ações após balanço polêmica dividendos,neutral,neutral
quénia resolveu disputa importação petróleo vizinho uganda permitindo finalmente país áfrica oriental importasse produtos petrolíferos através porto mombaça segundo reuters informação acima transmitida ministro energia quénia enquanto falava jornal business daily quintafeira questão 8230the post quênia resolve disputa sobre importação petróleo uganda litoral appeared first on jornal espalha fato,positive,neutral
sindicatos apontam condições trabalho perigosas principal causa acidentes baluchistão rico recursos menos 12 mineiros morreram explosão gás mina carvão província baluchistão sudoeste paquistão explosão mina privada harnai região mineira khost ocorreu noite 8230the post doze trabalhadores mortos explosão mina carvão paquistão appeared first on jornal espalha fato,neutral,neutral
índices eua operam hoje conta feriado president daythe post ibovespa vivo bolsa abre queda vale3 petr4 bancos oscilam,neutral,neutral
empresa família schattan inaugura showroom capital europeia design abril mira briga gigantesthe post mansão kim kardashian lojas dubai milão ornare segue expansão internacional,neutral,neutral
energia nuclear passando renascimento terra espaço quer falar base lunares exploração espacial energia nuclear pode chave ultrapassar fronteiras actuais dia 25 agosto 2012 solitária sonda espacial voyager 1 cruzou limiar espaço 8230the post energia nuclear chave exploração espacial appeared first on jornal espalha fato,neutral,neutral
bolsas caem após pib china ante dado varejo eua brasilthe post ibovespa vivo confira movimenta bolsa dólar juros nesta quarta,neutral,neutral
